protein_cluster	tg
pvp1072	terminase1
pvp1072	terminase13
pvp1072	terminase14
pvp1072	terminase16
pvp1072	terminase24
pvp1072	terminase25
pvp1072	terminase3
pvp1072	terminase38
pvp1072	terminase44
pvp1072	terminase5
pvp1072	terminase6
pvp1072	terminase7
pvp1072	terminase8
pvp1073	terminase1
pvp1073	terminase13
pvp1073	terminase14
pvp1073	terminase24
pvp1073	terminase25
pvp1073	terminase3
pvp1073	terminase5
pvp1073	terminase6
pvp1073	terminase7
pvp1073	terminase8
pvp1074	terminase13
pvp1074	terminase18
pvp1074	terminase24
pvp1074	terminase25
pvp1074	terminase5
pvp1074	terminase9
pvp1075	terminase13
pvp1075	terminase18
pvp1075	terminase24
pvp1075	terminase25
pvp1075	terminase5
pvp1075	terminase9
pvp1076	terminase13
pvp1076	terminase18
pvp1076	terminase24
pvp1076	terminase25
pvp1076	terminase5
pvp1076	terminase9
pvp1077	terminase13
pvp1077	terminase18
pvp1077	terminase24
pvp1077	terminase25
pvp1077	terminase5
pvp1077	terminase9
pvp1078	terminase13
pvp1078	terminase18
pvp1078	terminase24
pvp1078	terminase25
pvp1078	terminase5
pvp1078	terminase9
pvp1079	terminase13
pvp1079	terminase18
pvp1079	terminase23
pvp1079	terminase29
pvp1079	terminase3
pvp1079	terminase44
pvp1079	terminase9
pvp1080	terminase13
pvp1080	terminase3
pvp1080	terminase5
pvp1080	terminase6
pvp1080	terminase7
pvp1081	terminase16
pvp1081	terminase18
pvp1081	terminase22
pvp1081	terminase3
pvp1081	terminase39
pvp1081	terminase44
pvp1081	terminase6
pvp1081	terminase7
pvp1081	terminase8
pvp1081	terminase9
pvp1082	terminase22
pvp1082	terminase24
pvp1082	terminase5
pvp1082	terminase7
pvp1083	terminase13
pvp1083	terminase18
pvp1083	terminase5
pvp1083	terminase8
pvp1083	terminase9
pvp1084	terminase13
pvp1084	terminase14
pvp1084	terminase16
pvp1084	terminase24
pvp1084	terminase25
pvp1084	terminase28
pvp1084	terminase3
pvp1084	terminase5
pvp1084	terminase6
pvp1084	terminase7
pvp1084	terminase8
pvp1085	terminase1
pvp1085	terminase3
pvp1086	terminase1
pvp1087	terminase13
pvp1087	terminase16
pvp1087	terminase18
pvp1087	terminase22
pvp1087	terminase5
pvp1087	terminase8
pvp1087	terminase9
pvp1088	terminase1
pvp1089	terminase1
pvp1089	terminase2
pvp1089	terminase9
pvp1090	terminase1
pvp1090	terminase16
pvp1090	terminase2
pvp1090	terminase3
pvp1090	terminase7
pvp1091	terminase1
pvp1092	terminase1
pvp1092	terminase14
pvp1092	terminase24
pvp1092	terminase3
pvp1092	terminase5
pvp1092	terminase7
pvp1092	terminase8
pvp1092	terminase9
pvp1093	terminase13
pvp1093	terminase18
pvp1093	terminase44
pvp1093	terminase5
pvp1093	terminase9
pvp1094	terminase13
pvp1094	terminase18
pvp1094	terminase44
pvp1094	terminase5
pvp1094	terminase9
pvp1095	terminase13
pvp1095	terminase18
pvp1095	terminase44
pvp1095	terminase5
pvp1095	terminase9
pvp1096	terminase13
pvp1096	terminase18
pvp1096	terminase44
pvp1096	terminase5
pvp1096	terminase9
pvp1097	terminase13
