protein_cluster	tg
pvp1335	terminase8
pvp1336	terminase22
pvp1336	terminase25
pvp1336	terminase3
pvp1336	terminase5
pvp1336	terminase8
pvp1337	terminase22
pvp1337	terminase25
pvp1337	terminase3
pvp1337	terminase5
pvp1337	terminase8
pvp1338	terminase16
pvp1338	terminase22
pvp1338	terminase39
pvp1339	terminase13
pvp1339	terminase18
pvp1339	terminase5
pvp1339	terminase9
pvp1340	terminase13
pvp1340	terminase18
pvp1340	terminase9
pvp1341	terminase13
pvp1341	terminase18
pvp1341	terminase44
pvp1341	terminase5
pvp1341	terminase9
pvp1342	terminase3
pvp1343	terminase28
pvp1343	terminase3
pvp1344	terminase13
pvp1344	terminase26
pvp1344	terminase5
pvp1344	terminase6
pvp1345	terminase13
pvp1345	terminase5
pvp1345	terminase9
pvp1346	terminase13
pvp1346	terminase18
pvp1346	terminase9
pvp1347	terminase14
pvp1347	terminase15
pvp1347	terminase2
pvp1348	terminase11
pvp1348	terminase15
pvp1348	terminase24
pvp1348	terminase25
pvp1348	terminase5
pvp1349	terminase22
pvp1349	terminase24
pvp1349	terminase25
pvp1349	terminase5
pvp1349	terminase8
pvp1350	terminase13
pvp1350	terminase16
pvp1350	terminase25
pvp1350	terminase5
pvp1350	terminase8
pvp1350	terminase9
pvp1351	terminase7
pvp1352	terminase1
pvp1352	terminase16
pvp1352	terminase22
pvp1352	terminase7
pvp1352	terminase8
pvp1353	terminase13
pvp1353	terminase18
pvp1353	terminase44
pvp1353	terminase5
pvp1353	terminase8
pvp1353	terminase9
pvp1354	terminase13
pvp1354	terminase18
pvp1354	terminase9
pvp1355	terminase13
pvp1355	terminase18
pvp1355	terminase5
pvp1355	terminase9
pvp1356	terminase11
pvp1357	terminase11
pvp1358	terminase11
pvp1359	terminase11
pvp1360	terminase1
pvp1361	terminase1
pvp1362	terminase13
pvp1362	terminase18
pvp1362	terminase5
pvp1362	terminase9
pvp1363	terminase15
pvp1363	terminase3
pvp1363	terminase38
pvp1363	terminase4
pvp1364	terminase23
pvp1364	terminase26
pvp1365	terminase14
pvp1365	terminase15
pvp1365	terminase29
pvp1366	terminase23
pvp1366	terminase29
pvp1366	terminase8
pvp1367	terminase16
pvp1367	terminase22
pvp1367	terminase24
pvp1367	terminase25
pvp1367	terminase5
pvp1368	terminase16
pvp1368	terminase22
pvp1368	terminase25
pvp1368	terminase3
pvp1368	terminase5
pvp1368	terminase7
pvp1368	terminase8
pvp1369	terminase13
pvp1369	terminase28
pvp1369	terminase3
pvp1370	terminase13
pvp1370	terminase3
pvp1370	terminase8
pvp1371	terminase24
pvp1371	terminase25
pvp1371	terminase5
pvp1371	terminase6
pvp1372	terminase13
pvp1372	terminase9
pvp1373	terminase13
pvp1373	terminase18
pvp1373	terminase44
pvp1373	terminase5
pvp1373	terminase9
pvp1374	terminase1
pvp1374	terminase13
pvp1374	terminase14
pvp1374	terminase24
pvp1374	terminase5
pvp1374	terminase7
pvp1375	terminase13
pvp1375	terminase24
pvp1375	terminase25
pvp1375	terminase5
pvp1376	terminase13
pvp1376	terminase24
pvp1376	terminase25
pvp1376	terminase5
pvp1377	terminase14
pvp1377	terminase16
pvp1377	terminase22
pvp1377	terminase25
pvp1377	terminase5
pvp1378	terminase24
pvp1378	terminase25
pvp1378	terminase5
pvp1379	terminase24
pvp1379	terminase25
pvp1379	terminase5
pvp1380	terminase2
pvp1380	terminase3
pvp1380	terminase5
pvp1381	terminase2
pvp1382	terminase33
pvp1382	terminase7
pvp1383	terminase22
pvp1383	terminase3
pvp1383	terminase5
pvp1383	terminase8
pvp1384	terminase7
pvp1385	terminase3
pvp1385	terminase7
pvp1386	terminase22
pvp1386	terminase39
pvp1386	terminase44
pvp1386	terminase8
pvp1387	terminase1
pvp1388	terminase1
pvp1388	terminase6
pvp1389	terminase1
pvp1390	tectviridae
pvp1391	terminase13
pvp1391	terminase14
pvp1391	terminase18
pvp1391	terminase23
pvp1391	terminase44
pvp1391	terminase9
pvp1392	terminase11
pvp1392	terminase14
pvp1392	terminase4
pvp1393	terminase16
pvp1393	terminase22
pvp1393	terminase39
pvp1394	terminase16
pvp1394	terminase5
pvp1395	terminase16
pvp1395	terminase24
pvp1395	terminase3
pvp1395	terminase7
pvp1396	terminase3
pvp1397	terminase3
pvp1398	terminase1
pvp1398	terminase13
pvp1398	terminase6
pvp1398	terminase7
pvp1399	terminase13
pvp1400	terminase1
pvp1400	terminase13
pvp1400	terminase16
pvp1400	terminase5
pvp1400	terminase9
pvp1401	terminase24
pvp1401	terminase25
pvp1401	terminase5
pvp1402	terminase24
pvp1402	terminase25
pvp1402	terminase5
pvp1403	terminase24
pvp1403	terminase25
pvp1403	terminase5
pvp1404	terminase24
pvp1404	terminase25
pvp1404	terminase5
pvp1405	terminase24
pvp1405	terminase25
pvp1405	terminase5
pvp1406	terminase16
pvp1406	terminase22
pvp1406	terminase25
pvp1406	terminase5
pvp1406	terminase8
pvp1407	terminase14
pvp1407	terminase18
pvp1407	terminase2
pvp1407	terminase5
pvp1407	terminase9
pvp1408	terminase1
pvp1408	terminase14
pvp1408	terminase24
pvp1408	terminase3
pvp1408	terminase8
pvp1409	terminase1
pvp1409	terminase14
pvp1410	terminase1
pvp1411	terminase1
pvp1412	terminase3
pvp1412	terminase5
pvp1412	terminase7
pvp1412	terminase8
pvp1413	tectviridae
pvp1414	terminase16
pvp1415	terminase13
pvp1415	terminase14
pvp1415	terminase18
pvp1415	terminase25
pvp1416	terminase13
pvp1416	terminase24
pvp1416	terminase3
pvp1416	terminase7
pvp1417	terminase3
pvp1418	terminase3
pvp1419	terminase33
pvp1419	terminase5
pvp1419	terminase8
pvp1420	terminase3
pvp1421	terminase12
pvp1421	terminase44
pvp1422	terminase24
pvp1422	terminase25
pvp1422	terminase5
pvp1423	terminase13
pvp1423	terminase24
pvp1423	terminase25
pvp1423	terminase5
pvp1424	terminase15
pvp1424	terminase2
pvp1425	terminase3
pvp1425	terminase5
pvp1425	terminase7
pvp1426	terminase13
pvp1426	terminase18
pvp1426	terminase25
pvp1426	terminase5
pvp1426	terminase9
pvp1427	terminase13
pvp1427	terminase18
pvp1427	terminase44
pvp1427	terminase5
pvp1427	terminase9
pvp1428	terminase13
pvp1428	terminase18
pvp1428	terminase5
pvp1428	terminase8
pvp1428	terminase9
pvp1429	terminase1
pvp1429	terminase13
pvp1429	terminase14
pvp1429	terminase5
pvp1429	terminase7
pvp1429	terminase8
pvp1430	terminase11
pvp1430	terminase16
pvp1430	terminase23
pvp1430	terminase32
pvp1430	terminase5
pvp1430	terminase8
pvp1431	terminase14
pvp1431	terminase15
pvp1431	terminase5
pvp1431	terminase8
pvp1432	terminase18
pvp1432	terminase5
pvp1433	terminase1
pvp1434	terminase1
pvp1435	terminase1
pvp1436	terminase1
pvp1437	terminase14
pvp1438	tectviridae
pvp1439	terminase23
pvp1439	terminase4
pvp1440	terminase23
pvp1440	terminase4
pvp1441	terminase23
pvp1441	terminase4
pvp1442	terminase23
pvp1442	terminase24
pvp1442	terminase33
pvp1443	terminase23
pvp1443	terminase3
pvp1443	terminase5
pvp1444	terminase23
pvp1444	terminase3
pvp1444	terminase5
pvp1444	terminase6
pvp1444	terminase7
pvp1444	terminase8
pvp1445	terminase14
pvp1445	terminase15
pvp1445	terminase2
pvp1445	terminase4
pvp1446	terminase16
pvp1447	terminase16
pvp1448	terminase16
pvp1449	terminase16
pvp1450	terminase16
pvp1451	terminase16
pvp1452	terminase16
pvp1453	terminase16
pvp1454	terminase14
pvp1454	terminase16
pvp1455	terminase16
pvp1456	terminase16
pvp1457	terminase16
pvp1458	terminase18
pvp1458	terminase24
pvp1458	terminase25
pvp1458	terminase5
pvp1458	terminase9
pvp1459	terminase16
pvp1460	terminase25
pvp1460	terminase3
pvp1460	terminase7
pvp1461	terminase1
pvp1461	terminase3
pvp1462	terminase31
pvp1462	terminase33
pvp1462	terminase44
pvp1463	terminase3
pvp1464	terminase12
pvp1465	terminase12
pvp1466	terminase12
pvp1467	terminase12
pvp1468	terminase12
pvp1469	terminase12
pvp1470	terminase12
pvp1471	terminase12
pvp1472	terminase12
pvp1473	terminase12
pvp1474	terminase12
pvp1475	terminase12
pvp1476	terminase12
pvp1477	terminase12
pvp1478	terminase12
pvp1479	terminase12
pvp1480	terminase12
pvp1481	terminase12
pvp1482	terminase12
pvp1483	terminase12
pvp1484	terminase12
pvp1485	terminase12
pvp1486	terminase12
pvp1487	terminase12
pvp1488	terminase12
pvp1489	terminase12
pvp1490	terminase12
pvp1491	terminase12
pvp1492	terminase12
pvp1493	terminase12
pvp1494	terminase12
pvp1495	terminase12
pvp1496	terminase12
pvp1497	terminase12
pvp1498	terminase12
pvp1499	terminase24
pvp1499	terminase3
pvp1499	terminase5
pvp1499	terminase6
pvp1500	terminase13
pvp1501	terminase11
pvp1501	terminase13
pvp1501	terminase9
pvp1502	terminase13
pvp1502	terminase18
pvp1502	terminase44
pvp1502	terminase5
pvp1502	terminase9
pvp1503	terminase14
pvp1503	terminase15
pvp1503	terminase2
pvp1504	terminase14
pvp1504	terminase6
pvp1505	terminase22
pvp1505	terminase24
pvp1505	terminase28
pvp1505	terminase5
pvp1505	terminase8
pvp1506	terminase2
pvp1507	terminase2
pvp1508	terminase2
pvp1509	terminase2
pvp1510	terminase2
pvp1511	terminase2
pvp1512	terminase2
pvp1513	terminase7
pvp1514	terminase3
pvp1515	terminase3
pvp1516	terminase16
pvp1516	terminase22
pvp1516	terminase5
pvp1516	terminase6
pvp1517	terminase8
pvp1518	terminase24
pvp1518	terminase25
pvp1518	terminase5
pvp1518	terminase9
pvp1519	terminase13
pvp1519	terminase44
pvp1519	terminase5
pvp1519	terminase9
pvp1520	terminase2
pvp1521	terminase2
pvp1522	terminase2
pvp1523	terminase2
pvp1524	terminase2
pvp1525	terminase2
pvp1526	terminase14
pvp1526	terminase2
pvp1526	terminase38
pvp1527	terminase2
pvp1528	terminase2
pvp1529	terminase1
pvp1529	terminase13
pvp1529	terminase18
pvp1529	terminase22
pvp1529	terminase9
pvp1530	terminase1
pvp1530	terminase14
pvp1531	terminase11
pvp1532	terminase14
pvp1533	terminase14
pvp1533	terminase28
pvp1534	terminase23
pvp1534	terminase24
pvp1535	terminase23
pvp1535	terminase6
pvp1536	terminase2
pvp1536	terminase4
pvp1537	terminase16
pvp1537	terminase22
pvp1537	terminase24
pvp1537	terminase25
pvp1537	terminase5
pvp1538	terminase1
pvp1538	terminase16
pvp1538	terminase22
pvp1538	terminase24
pvp1538	terminase39
pvp1539	terminase13
pvp1539	terminase18
pvp1539	terminase9
pvp1540	terminase13
pvp1540	terminase2
pvp1540	terminase34
pvp1540	terminase5
pvp1541	terminase23
pvp1541	terminase34
pvp1542	terminase12
pvp1543	terminase12
pvp1544	terminase12
pvp1545	terminase12
pvp1546	terminase12
pvp1547	terminase12
pvp1548	terminase13
pvp1548	terminase6
pvp1548	terminase8
pvp1549	terminase6
pvp1550	terminase13
pvp1550	terminase6
pvp1551	terminase13
pvp1551	terminase6
pvp1552	terminase13
pvp1552	terminase22
pvp1552	terminase6
pvp1552	terminase8
pvp1553	terminase13
pvp1553	terminase6
pvp1554	terminase13
pvp1554	terminase6
pvp1555	terminase13
pvp1555	terminase6
pvp1556	terminase13
pvp1556	terminase6
pvp1557	terminase13
pvp1557	terminase6
pvp1558	terminase13
pvp1558	terminase6
pvp1559	terminase13
pvp1559	terminase6
pvp1560	terminase13
pvp1560	terminase6
pvp1561	terminase13
pvp1561	terminase6
pvp1562	terminase13
pvp1562	terminase6
pvp1563	terminase13
pvp1563	terminase6
pvp1564	terminase13
pvp1564	terminase6
pvp1565	terminase13
pvp1565	terminase6
pvp1566	terminase13
pvp1566	terminase6
pvp1567	terminase13
pvp1567	terminase6
pvp1568	terminase13
pvp1568	terminase6
pvp1569	terminase14
pvp1570	terminase14
pvp1570	terminase16
pvp1570	terminase22
pvp1570	terminase25
pvp1570	terminase8
pvp1571	terminase14
pvp1572	terminase14
pvp1573	terminase14
pvp1574	terminase14
pvp1575	terminase24
pvp1575	terminase5
pvp1575	terminase7
pvp1576	terminase22
pvp1576	terminase24
pvp1576	terminase5
pvp1577	terminase14
pvp1578	terminase13
pvp1578	terminase24
pvp1578	terminase5
pvp1579	terminase24
pvp1579	terminase25
pvp1579	terminase5
pvp1580	terminase18
pvp1581	terminase1
pvp1581	terminase5
pvp1581	terminase6
pvp1582	terminase14
pvp1582	terminase2
pvp1583	terminase14
pvp1583	terminase2
pvp1584	terminase24
pvp1584	terminase7
pvp1584	terminase8
pvp1585	terminase3
pvp1585	terminase31
pvp1586	terminase16
pvp1586	terminase22
pvp1586	terminase5
pvp1587	terminase25
pvp1587	terminase39
pvp1588	terminase16
pvp1588	terminase25
pvp1588	terminase5
pvp1588	terminase6
pvp1588	terminase8
pvp1589	terminase13
pvp1589	terminase3
pvp1590	terminase14
pvp1590	terminase15
pvp1590	terminase3
pvp1590	terminase7
pvp1591	terminase13
pvp1591	terminase9
pvp1592	terminase25
pvp1592	terminase5
pvp1592	terminase8
pvp1593	terminase14
pvp1594	terminase14
pvp1594	terminase2
pvp1595	terminase5
pvp1595	terminase8
pvp1596	terminase5
pvp1596	terminase8
pvp1597	terminase5
pvp1597	terminase8
pvp1598	terminase5
pvp1598	terminase8
pvp1599	terminase5
pvp1599	terminase8
pvp1600	terminase5
pvp1600	terminase8
pvp1601	terminase16
pvp1601	terminase22
pvp1601	terminase39
pvp1601	terminase5
pvp1601	terminase8
pvp1602	terminase5
pvp1602	terminase8
pvp1603	terminase2
pvp1604	terminase14
pvp1604	terminase2
pvp1605	terminase22
pvp1605	terminase26
pvp1605	terminase39
pvp1606	terminase14
pvp1606	terminase15
pvp1606	terminase2
pvp1607	terminase11
pvp1608	terminase14
pvp1608	terminase15
pvp1608	terminase2
pvp1609	terminase11
pvp1610	terminase2
pvp1610	terminase26
pvp1610	terminase34
pvp1611	terminase1
pvp1612	terminase13
pvp1612	terminase18
pvp1612	terminase24
pvp1612	terminase5
pvp1613	terminase1
pvp1614	terminase18
pvp1614	terminase5
pvp1614	terminase7
pvp1614	terminase9
pvp1615	terminase7
pvp1616	terminase11
pvp1616	terminase14
pvp1617	terminase11
pvp1618	terminase11
pvp1619	terminase11
pvp1620	terminase11
pvp1621	terminase11
pvp1622	terminase11
pvp1623	terminase11
pvp1624	terminase11
pvp1625	terminase11
pvp1626	terminase11
pvp1627	terminase11
pvp1628	terminase23
pvp1629	terminase23
pvp1630	terminase23
pvp1631	terminase23
pvp1632	terminase23
pvp1633	terminase23
pvp1634	terminase23
pvp1635	terminase23
pvp1636	terminase23
pvp1637	terminase23
pvp1638	terminase23
pvp1639	terminase23
pvp1640	terminase23
pvp1641	terminase23
pvp1642	terminase23
pvp1643	terminase23
pvp1644	terminase23
pvp1645	terminase23
pvp1646	terminase23
pvp1647	terminase23
pvp1648	terminase23
pvp1649	terminase23
pvp1650	terminase23
pvp1651	terminase23
pvp1652	terminase23
pvp1653	terminase23
pvp1654	terminase16
pvp1655	terminase16
pvp1655	terminase3
pvp1655	terminase5
pvp1655	terminase8
pvp1656	terminase16
pvp1656	terminase22
pvp1656	terminase24
pvp1656	terminase8
pvp1657	terminase16
pvp1657	terminase22
pvp1658	terminase3
pvp1659	terminase16
pvp1659	terminase3
pvp1660	terminase23
pvp1660	terminase34
pvp1661	terminase1
pvp1662	terminase3
pvp1663	terminase3
pvp1663	terminase8
pvp1664	terminase25
pvp1664	terminase3
pvp1664	terminase5
pvp1664	terminase6
pvp1664	terminase7
pvp1665	terminase12
pvp1666	terminase12
pvp1667	terminase12
pvp1668	terminase12
pvp1669	terminase13
pvp1669	terminase6
pvp1670	terminase15
pvp1670	terminase16
pvp1670	terminase22
pvp1670	terminase25
pvp1671	tectviridae
pvp1672	terminase1
pvp1672	terminase13
pvp1672	terminase25
pvp1672	terminase8
pvp1672	terminase9
pvp1673	terminase14
pvp1674	terminase14
pvp1675	terminase14
pvp1676	terminase14
pvp1677	terminase14
pvp1678	terminase14
pvp1679	terminase14
pvp1680	terminase14
pvp1681	terminase14
pvp1682	terminase14
pvp1683	terminase14
pvp1684	terminase14
pvp1685	terminase14
pvp1686	terminase14
pvp1687	terminase14
pvp1688	terminase15
pvp1688	terminase2
pvp1689	terminase24
pvp1689	terminase5
pvp1689	terminase6
pvp1689	terminase7
pvp1690	terminase13
pvp1690	terminase16
pvp1690	terminase24
pvp1690	terminase5
pvp1690	terminase9
pvp1691	terminase5
pvp1692	terminase2
pvp1693	terminase11
pvp1693	terminase2
pvp1694	terminase3
pvp1694	terminase7
pvp1695	terminase25
pvp1695	terminase3
pvp1696	terminase28
pvp1696	terminase3
pvp1697	terminase7
pvp1698	terminase22
pvp1698	terminase8
pvp1699	terminase22
pvp1699	terminase8
pvp1700	terminase22
pvp1700	terminase8
pvp1701	terminase22
pvp1701	terminase8
pvp1702	terminase22
pvp1702	terminase8
pvp1703	terminase22
pvp1703	terminase8
pvp1704	terminase22
pvp1704	terminase8
pvp1705	terminase22
pvp1705	terminase8
pvp1706	terminase22
pvp1706	terminase8
pvp1707	terminase22
pvp1707	terminase8
pvp1708	terminase22
pvp1708	terminase8
pvp1709	terminase22
pvp1709	terminase8
pvp1710	terminase22
pvp1710	terminase8
pvp1711	terminase22
pvp1711	terminase24
pvp1711	terminase5
pvp1712	terminase22
pvp1712	terminase3
pvp1712	terminase44
pvp1712	terminase5
pvp1712	terminase9
pvp1713	terminase22
pvp1713	terminase8
pvp1714	terminase24
pvp1714	terminase25
pvp1714	terminase5
pvp1715	terminase16
pvp1715	terminase22
pvp1715	terminase3
pvp1715	terminase7
pvp1715	terminase8
pvp1716	terminase14
pvp1717	terminase14
pvp1718	terminase14
pvp1719	terminase14
pvp1720	terminase13
pvp1720	terminase44
pvp1720	terminase9
pvp1721	terminase5
pvp1721	terminase8
pvp1722	terminase16
pvp1722	terminase5
pvp1722	terminase8
pvp1723	terminase18
pvp1723	terminase5
pvp1724	terminase18
pvp1724	terminase31
pvp1724	terminase5
pvp1724	terminase9
pvp1725	terminase2
pvp1725	terminase32
pvp1726	terminase2
pvp1726	terminase32
pvp1727	terminase14
pvp1727	terminase2
pvp1728	terminase1
pvp1728	terminase2
pvp1729	terminase15
pvp1729	terminase2
pvp1730	terminase1
pvp1730	terminase13
pvp1730	terminase6
pvp1730	terminase8
pvp1731	terminase3
pvp1731	terminase8
pvp1732	terminase1
pvp1733	terminase1
pvp1734	terminase1
pvp1735	terminase1
pvp1736	terminase1
pvp1737	terminase6
pvp1737	terminase7
pvp1738	terminase1
pvp1738	terminase25
pvp1738	terminase7
pvp1739	terminase11
pvp1740	terminase11
pvp1740	terminase32
pvp1741	terminase1
pvp1741	terminase44
pvp1741	terminase8
pvp1742	terminase13
pvp1742	terminase24
pvp1742	terminase32
pvp1742	terminase5
pvp1743	terminase14
pvp1743	terminase3
pvp1743	terminase4
pvp1743	terminase6
pvp1744	terminase15
pvp1744	terminase4
pvp1745	terminase15
pvp1745	terminase4
pvp1746	terminase15
pvp1746	terminase4
pvp1747	terminase15
pvp1747	terminase4
pvp1748	terminase16
pvp1748	terminase22
pvp1749	terminase16
pvp1749	terminase24
pvp1749	terminase5
pvp1749	terminase6
pvp1750	terminase14
pvp1750	terminase3
pvp1750	terminase8
pvp1751	terminase29
pvp1751	terminase3
pvp1752	terminase23
pvp1753	terminase23
pvp1754	terminase23
pvp1755	terminase23
pvp1756	terminase23
pvp1757	terminase23
pvp1758	terminase2
pvp1759	terminase1
pvp1760	terminase12
pvp1761	terminase12
pvp1762	terminase6
pvp1763	terminase22
pvp1763	terminase6
pvp1763	terminase8
pvp1764	terminase13
pvp1764	terminase6
pvp1765	terminase13
pvp1765	terminase3
pvp1765	terminase34
pvp1765	terminase5
pvp1765	terminase7
pvp1766	terminase5
pvp1766	terminase7
pvp1766	terminase9
pvp1767	terminase5
pvp1767	terminase6
pvp1767	terminase7
pvp1768	terminase13
pvp1768	terminase6
pvp1769	tectviridae
pvp1770	terminase13
pvp1770	terminase22
pvp1770	terminase8
pvp1771	terminase14
pvp1772	terminase14
pvp1773	terminase14
pvp1774	terminase14
pvp1775	terminase24
pvp1775	terminase5
pvp1776	terminase13
pvp1776	terminase5
pvp1776	terminase8
pvp1776	terminase9
pvp1777	terminase2
pvp1778	terminase2
pvp1779	terminase2
pvp1780	terminase2
pvp1781	terminase2
pvp1782	terminase2
pvp1783	terminase2
pvp1784	terminase2
pvp1785	terminase2
pvp1786	terminase2
pvp1787	terminase2
pvp1788	terminase2
pvp1789	terminase2
pvp1790	terminase2
pvp1791	terminase2
pvp1792	terminase2
pvp1793	terminase2
pvp1794	terminase2
pvp1795	terminase2
pvp1796	terminase2
pvp1797	terminase2
pvp1798	terminase2
pvp1799	terminase2
pvp1800	terminase2
pvp1801	terminase2
pvp1802	terminase2
pvp1803	terminase2
pvp1804	terminase2
pvp1805	terminase2
pvp1806	terminase2
pvp1807	terminase2
pvp1808	terminase2
pvp1809	terminase2
pvp1810	terminase2
pvp1811	terminase2
pvp1812	terminase2
pvp1813	terminase2
pvp1814	terminase2
pvp1815	terminase2
pvp1816	terminase2
pvp1817	terminase2
pvp1818	terminase2
pvp1819	terminase2
pvp1820	terminase2
pvp1821	terminase2
pvp1822	terminase2
pvp1823	terminase1
pvp1823	terminase3
pvp1824	terminase16
pvp1824	terminase3
pvp1825	terminase3
pvp1826	terminase3
pvp1827	terminase7
pvp1827	terminase9
pvp1828	terminase22
pvp1828	terminase8
pvp1829	terminase22
pvp1829	terminase8
pvp1830	terminase1
pvp1830	terminase14
pvp1830	terminase25
pvp1831	terminase25
pvp1831	terminase7
pvp1832	terminase1
pvp1832	terminase16
pvp1832	terminase3
pvp1832	terminase5
pvp1832	terminase8
pvp1833	terminase1
pvp1833	terminase13
pvp1833	terminase22
pvp1833	terminase39
pvp1834	terminase13
pvp1834	terminase33
pvp1834	terminase38
pvp1834	terminase44
pvp1835	terminase1
pvp1835	terminase11
pvp1835	terminase14
pvp1835	terminase3
pvp1835	terminase44
pvp1836	terminase25
pvp1836	terminase5
pvp1836	terminase9
pvp1837	terminase13
pvp1837	terminase9
pvp1838	terminase5
pvp1838	terminase8
pvp1838	terminase9
pvp1839	terminase25
pvp1839	terminase5
pvp1839	terminase8
pvp1840	terminase14
pvp1841	terminase14
pvp1842	terminase11
pvp1842	terminase14
pvp1843	terminase1
pvp1843	terminase5
pvp1843	terminase8
pvp1844	terminase14
pvp1844	terminase7
pvp1844	terminase9
pvp1845	terminase10
pvp1845	terminase14
pvp1846	terminase5
pvp1846	terminase8
pvp1847	terminase5
pvp1847	terminase8
pvp1848	terminase5
pvp1848	terminase8
pvp1849	terminase5
pvp1849	terminase8
pvp1850	terminase5
pvp1850	terminase8
pvp1851	terminase5
pvp1851	terminase8
pvp1852	terminase5
pvp1852	terminase8
pvp1853	terminase5
pvp1853	terminase8
pvp1854	terminase5
pvp1854	terminase8
pvp1855	terminase5
pvp1855	terminase8
pvp1856	terminase16
pvp1856	terminase5
pvp1856	terminase6
pvp1856	terminase8
pvp1857	terminase1
pvp1857	terminase14
pvp1857	terminase3
pvp1857	terminase5
pvp1857	terminase8
pvp1858	terminase5
pvp1858	terminase8
pvp1859	terminase5
pvp1859	terminase8
pvp1860	terminase5
pvp1860	terminase8
pvp1861	terminase5
pvp1861	terminase8
pvp1862	terminase5
pvp1862	terminase8
pvp1863	terminase2
pvp1864	terminase2
pvp1865	terminase2
pvp1866	terminase2
pvp1867	terminase2
pvp1868	terminase2
pvp1869	terminase2
pvp1870	terminase2
pvp1871	terminase2
pvp1872	terminase2
pvp1873	terminase2
pvp1874	terminase2
pvp1875	terminase2
pvp1876	terminase2
pvp1877	terminase2
pvp1878	terminase2
pvp1879	terminase2
pvp1880	terminase2
pvp1881	terminase2
pvp1882	terminase2
pvp1883	terminase2
pvp1884	terminase2
pvp1885	terminase2
pvp1886	terminase2
pvp1887	terminase2
pvp1888	terminase2
pvp1889	terminase2
pvp1890	terminase2
pvp1891	terminase2
pvp1892	terminase2
pvp1893	terminase2
pvp1894	terminase2
pvp1895	terminase2
pvp1896	terminase2
pvp1897	terminase2
pvp1898	terminase2
pvp1899	terminase2
pvp1900	terminase2
pvp1901	terminase2
pvp1902	terminase2
pvp1903	terminase2
pvp1904	terminase2
pvp1905	terminase11
pvp1905	terminase39
pvp1905	terminase5
pvp1905	terminase8
pvp1906	terminase11
pvp1906	terminase32
pvp1907	terminase11
pvp1907	terminase32
pvp1908	terminase3
pvp1909	terminase31
pvp1909	terminase6
pvp1910	terminase15
pvp1910	terminase26
pvp1910	terminase5
pvp1910	terminase8
pvp1911	terminase1
pvp1912	terminase1
pvp1913	terminase1
pvp1914	terminase1
pvp1915	terminase28
pvp1915	terminase34
pvp1915	terminase7
pvp1915	terminase8
pvp1916	tectviridae
pvp1917	terminase1
pvp1917	terminase3
pvp1917	terminase5
pvp1918	terminase14
pvp1918	terminase15
pvp1918	terminase3
pvp1919	terminase1
pvp1919	terminase5
pvp1920	terminase9
pvp1921	terminase11
pvp1922	terminase11
pvp1923	terminase11
pvp1924	terminase11
pvp1925	terminase11
pvp1926	terminase11
pvp1927	terminase11
pvp1928	terminase11
pvp1929	terminase11
pvp1930	terminase11
pvp1931	terminase11
pvp1932	terminase11
pvp1933	terminase11
pvp1934	terminase11
pvp1935	terminase11
pvp1936	terminase11
pvp1937	terminase11
pvp1938	terminase11
pvp1939	terminase11
pvp1940	terminase11
pvp1941	terminase11
pvp1942	terminase11
pvp1943	terminase11
pvp1944	terminase11
pvp1945	terminase11
pvp1946	terminase11
pvp1947	terminase11
pvp1948	terminase11
pvp1949	terminase11
pvp1950	terminase11
pvp1951	terminase11
pvp1952	terminase11
pvp1953	terminase11
pvp1954	terminase11
pvp1955	terminase13
pvp1955	terminase6
pvp1956	terminase13
pvp1956	terminase5
pvp1956	terminase9
pvp1957	terminase22
pvp1957	terminase34
pvp1957	terminase39
pvp1958	terminase15
pvp1958	terminase4
pvp1959	terminase15
pvp1959	terminase4
pvp1960	terminase15
pvp1960	terminase4
pvp1961	terminase16
pvp1961	terminase22
pvp1962	terminase22
pvp1962	terminase39
pvp1962	terminase5
pvp1963	terminase1
pvp1963	terminase16
pvp1963	terminase9
pvp1964	terminase1
pvp1964	terminase10
pvp1964	terminase5
pvp1964	terminase8
pvp1965	terminase18
pvp1965	terminase9
pvp1966	terminase15
pvp1966	terminase29
pvp1967	terminase29
pvp1968	terminase29
pvp1968	terminase3
pvp1969	terminase33
pvp1969	terminase44
pvp1970	terminase3
pvp1970	terminase33
pvp1971	terminase33
pvp1972	terminase3
pvp1973	terminase3
pvp1973	terminase7
pvp1974	terminase3
pvp1975	terminase13
pvp1975	terminase9
pvp1976	terminase6
pvp1977	terminase6
pvp1977	terminase7
pvp1978	terminase1
pvp1978	terminase6
pvp1979	terminase28
pvp1979	terminase3
pvp1979	terminase5
pvp1979	terminase8
pvp1980	terminase15
pvp1980	terminase6
pvp1981	terminase25
pvp1981	terminase3
pvp1981	terminase7
pvp1982	terminase10
pvp1982	terminase14
pvp1982	terminase3
pvp1983	terminase13
pvp1983	terminase5
pvp1983	terminase9
pvp1984	terminase14
pvp1984	terminase15
pvp1984	terminase38
pvp1985	terminase14
pvp1985	terminase16
pvp1985	terminase22
pvp1986	terminase14
pvp1987	terminase14
pvp1988	terminase14
pvp1989	terminase14
pvp1989	terminase15
pvp1990	terminase14
pvp1991	terminase24
pvp1991	terminase5
pvp1992	terminase24
pvp1992	terminase5
pvp1993	terminase24
pvp1993	terminase5
pvp1994	terminase25
pvp1994	terminase5
pvp1994	terminase6
pvp1994	terminase7
pvp1995	terminase6
pvp1995	terminase7
pvp1996	terminase3
pvp1996	terminase44
pvp1997	terminase3
