Name	Code	Terminase_Type	Ambiguous	General_Terminase
Streptococcus_phage_Sfi19	Sfi19	3-cos/HK97	n	Cos
Streptococcus_phage_Sfi21	Sfi21	3-cos/HK97	n	Cos
Lactococcus_phage_SK1	sk1	3-cos/HK97	n	Cos
Staphylococcus_phage_Slt	Slt	3-cos/HK97	n	Cos
Shigella_phage_SP18	SP18	headful/T4	n	Headful
Staphylococcus_phage_SP6	SP6	short DTR/T7	n	DTR
Bacillus_phage_SPO1	SPO1	NoGroup	n	NoGroup
Bacillus_phage_SPP1	SPP1	headful/P22	n	Headful
Salmonella_phage_ST64B	ST64B	3-cos/HK97	n	Cos
Escherichia_Stx1_converting_phage	stx1	headful/933W	y	Headful
Enterobacteria_phage_T3	T3	short DTR/T7	n	DTR
Enterobacteria_phage_T4	T4	headful/T4	n	Headful
Escherichia_phage_T5	T5	NoGroup	n	NoGroup
Phage_T7	T7	short DTR/T7	n	DTR
Lactococcus_phage_TP901-1	TP901-1	NoGroup	n	NoGroup
Klebsiella_pneumoniae_UCICRE_2	UCICRE_2	5-cos/P2	y	Cos
Erwinia_phage_vB_EamP-S6	vB_EamP-S6	DTR/N4	n	DTR
Escherichia_phage_vB_EcoP_G7C	vB_EcoP_G7C	DTR/N4	n	DTR
Vibrio_phage_VBP32	VBP32	DTR/N4	n	DTR
Vibrio_phage_VBP47	VBP47	DTR/N4	n	DTR
Vibrio_phage_VCO139	VCO139	DTR/N4	n	DTR
Wolbachia_phage_WO	WO	Cos/lambda	n	Cos
Xanthomonas_phage_Xp10	Xp10	3-cos/HK97	n	Cos
